stock1 - stock2,corr
./data\20MICRONS.json - ./data\DEEPENR.json,0.16787413627398767
./data\20MICRONS.json - ./data\DEEPINDS.json,
./data\20MICRONS.json - ./data\DELHIVERY.json,
./data\20MICRONS.json - ./data\DELPHIFX.json,-0.0022837526905390925
./data\20MICRONS.json - ./data\DELTACORP.json,0.2330681605009969
./data\20MICRONS.json - ./data\DELTAMAGNT.json,0.021308033646505357
./data\20MICRONS.json - ./data\DEN.json,0.11976877203095601
./data\20MICRONS.json - ./data\DENORA.json,-0.01224942120503418
./data\20MICRONS.json - ./data\DEVIT.json,-0.100990462056448
./data\20MICRONS.json - ./data\DEVYANI.json,
./data\20MICRONS.json - ./data\DGCONTENT.json,0.06643672491302403
